REIMAGINEDAPPV2 Compliance — 2025-09-04 11:40
Check                                   Result  Details                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Artifacts tracked                       PASS    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Env leaks (process.env outside env.js)  FAIL    src/debug/config.js, src/debug/routes.js, src/middleware/trace404.js … (+8 more)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Files > 250 lines (src)                 WARN    src/public/app.js(504), src/repositories/chat.repository.js(422), src/repositories/document.repository.js(348) … (+8 more)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Legacy *.routes.js                      PASS    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Duplicate routes                        FAIL    GET / ← src/routes/admin/dashboard.route.js, src/routes/admin/health.route.js, src/routes/admin/logs.route.js, src/routes/admin/manufacturers.route.js, src/routes/admin/models.route.js, src/routes/admin/pinecone.route.js, src/routes/admin/systems.route.js, src/routes/chat/context.route.js, src/routes/chat/history.route.js, src/routes/chat/list.route.js, src/routes/document/documents.route.js, src/routes/document/jobs.route.js, src/routes/health.router.js, src/routes/systems.router.js, POST / ← src/routes/chat/process.route.js, src/routes/document/ingest.route.js
validateResponse present (routes)       FAIL    21/24                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
/admin gated by adminOnly               FAIL    no                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
No route → repository imports           FAIL    src/routes/admin/manufacturers.route.js, src/routes/admin/models.route.js, src/routes/admin/systems.route.js                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Axios forbidden                         PASS    0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Zod INPUT at route edge                 FAIL    20/21 – src/routes/health.router.js                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

Overall: FAIL (blocking issues present, 1 warning)
