doc_id,filename,asset_uid,manufacturer,model,storage_path,file_size_mb,uploaded_at,parse_status,parse_started_at,parse_completed_at,chunks_processed,vectors_upserted,chunks_in_db,chunks_in_storage,chunking_strategy,error_message,dip_status,dip_started_at,dip_completed_at,specs_count,golden_count,intent_count,procedures_count,cache_tokens_written,cache_tokens_read,total_input_tokens,total_output_tokens,estimated_cost_usd,dip_error_message
a8f2d192a030f080ea59c6bedfde1cfae54bb0f6a10ae54d7e5db382e14f2d4a,victron_cerbo_gx.pdf,5480345b-3ecf-fa1b-0cfc-659fe978dc4a,Victron,cerbo_gx,manuals/a8f2d192a030f080ea59c6bedfde1cfae54bb0f6a10ae54d7e5db382e14f2d4a/victron_cerbo_gx.pdf,19.43,2025-10-14T23:32:00.169Z,completed,2025-10-15T14:28:22.574Z,2025-10-15T14:30:13.901Z,159,159,159,0,semantic_v2,,failed,2025-10-15T19:27:11.696819,2025-10-15T19:27:16.420010,,,,,,,,,,"RateLimitError: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's (5367197c-9bb4-4bdc-be1d-e2a20de41385) maximum usage increase rate for input tokens per minute. Please scale up your input tokens usage more gradually to stay within the acceleration limit. For details, refer to: https://docs.claude.com/en/api/rate-limits.""}, 'request_id': 'req_011CU9rGtjrLu4nHZYjVqRuX'}"
f8ac240862ac81860099894479054d996acb11bc1cd94cab6e6001f1f13a4f78,Acuva_uv_led_water_purification_system.pdf,87517a2e-8bc4-8379-5718-e88bb81cb796,Acuva,uv_led_water_purification_system,manuals/f8ac240862ac81860099894479054d996acb11bc1cd94cab6e6001f1f13a4f78/Acuva_uv_led_water_purification_system.pdf,0.29,2025-10-14T23:33:56.130Z,completed,2025-10-15T14:36:51.514Z,2025-10-15T14:37:28.661Z,32,32,32,0,semantic_v2,,,,,,,,,,,,,,
c88ba019159d7fc049bcbfe21ddcd617edf09180e01c8cb01c4bc34e961074ae,CZone_czone_gateway.pdf,9d399ee5-6ac1-2a60-d55c-a22b5a28cd36,CZone,czone_gateway,manuals/c88ba019159d7fc049bcbfe21ddcd617edf09180e01c8cb01c4bc34e961074ae/CZone_czone_gateway.pdf,4.89,2025-10-14T23:33:58.217Z,completed,2025-10-15T14:37:30.667Z,2025-10-15T14:38:38.458Z,101,101,101,0,semantic_v2,,,,,,,,,,,,,,
38034b328001ac870f7cb9a5c8da69a2835cc23b91f91706cab819d2584ae960,Flexiteek_material_guarantee.pdf,2e5d375c-f030-5a86-a6a2-91902193b68a,Flexiteek,material_guarantee,manuals/38034b328001ac870f7cb9a5c8da69a2835cc23b91f91706cab819d2584ae960/Flexiteek_material_guarantee.pdf,2.79,2025-10-14T23:33:59.782Z,completed,2025-10-15T14:38:40.466Z,2025-10-15T14:39:11.951Z,4,4,4,0,semantic_v2,,,,,,,,,,,,,,
9434bee2c1dc95b666f0ee903a846eb2b41559600c88eef392a5b0c7fc5834d7,Franke_flexi_faucet.pdf,af9a3816-26ee-e2b1-ecef-62d64098b451,Franke,flexi_faucet,manuals/9434bee2c1dc95b666f0ee903a846eb2b41559600c88eef392a5b0c7fc5834d7/Franke_flexi_faucet.pdf,3.91,2025-10-14T23:34:01.817Z,completed,2025-10-15T14:39:13.958Z,2025-10-15T14:39:55.374Z,4,4,4,0,semantic_v2,,,,,,,,,,,,,,
69e0dd91d9d06ef0404fd92bfc6a564665704fd57abbf6f784826d2a1663d319,Fusion_6_5_xs_speakers.pdf,fd32badc-12e6-32a0-1225-e54cd20d8b6d,Fusion,6_5_xs_speakers,manuals/69e0dd91d9d06ef0404fd92bfc6a564665704fd57abbf6f784826d2a1663d319/Fusion_6_5_xs_speakers.pdf,0.32,2025-10-14T23:34:02.527Z,completed,2025-10-15T14:39:57.376Z,2025-10-15T14:40:24.300Z,9,9,9,0,semantic_v2,,,,,,,,,,,,,,
d72a75401ef16ff7c7f754b31cf42830d90c90f0ae6d2e79ea3c24b6bb4a8720,Harken_32mm_big_boat_cb_traveler_car.pdf,d989bc6c-bab9-a001-2889-f4e83e47b28f,Harken,32mm_big_boat_cb_traveler_car,manuals/d72a75401ef16ff7c7f754b31cf42830d90c90f0ae6d2e79ea3c24b6bb4a8720/Harken_32mm_big_boat_cb_traveler_car.pdf,3.25,2025-10-14T23:34:03.723Z,completed,2025-10-15T14:50:58.359Z,2025-10-15T14:51:58.365Z,19,19,19,0,semantic_v2,,,,,,,,,,,,,,
0655d77d65941faee29ab80997faaed19b181aff8ed7350d096583429c080429,Harken_50_2sta.pdf,46020346-2f50-628b-bddc-6e8a331f1915,Harken,50_2sta,manuals/0655d77d65941faee29ab80997faaed19b181aff8ed7350d096583429c080429/Harken_50_2sta.pdf,6.08,2025-10-14T23:34:05.713Z,completed,2025-10-15T14:52:00.368Z,2025-10-15T14:52:55.192Z,24,24,24,0,semantic_v2,,,,,,,,,,,,,,
8742e69993122ef3f4a8f76618d8e9042a2ebedd5cd8c462f1dfb43e6ad9c184,Harken_analogic_switch.pdf,4dfca1c2-9aa7-4f69-893a-131fc9405612,Harken,analogic_switch,manuals/8742e69993122ef3f4a8f76618d8e9042a2ebedd5cd8c462f1dfb43e6ad9c184/Harken_analogic_switch.pdf,4.10,2025-10-14T23:34:07.305Z,completed,2025-10-15T14:52:57.199Z,2025-10-15T14:53:41.974Z,16,16,16,0,semantic_v2,,,,,,,,,,,,,,
e9fe7e6639578179370462de9771b6be5345a1be2730b57e2582970ae9debc0a,Harken_black_magic_footblock.pdf,e7505403-03a3-43ad-8e64-5fdf42f573c4,Harken,black_magic_footblock,manuals/e9fe7e6639578179370462de9771b6be5345a1be2730b57e2582970ae9debc0a/Harken_black_magic_footblock.pdf,0.46,2025-10-14T23:34:07.977Z,completed,2025-10-15T14:53:43.977Z,2025-10-15T14:54:16.154Z,3,3,3,0,semantic_v2,,,,,,,,,,,,,,
b06364a24dbb4c270ff0f3a315cde3865a7873ed5e0e796e8fce5645cab00ac7,Integrel_charging_system.pdf,91b3675a-9470-4e86-fe09-f5132102cfc8,Integrel,charging_system,manuals/b06364a24dbb4c270ff0f3a315cde3865a7873ed5e0e796e8fce5645cab00ac7/Integrel_charging_system.pdf,1.81,2025-10-14T23:34:08.891Z,completed,2025-10-15T14:54:18.157Z,2025-10-15T14:54:45.333Z,12,12,12,0,semantic_v2,,,,,,,,,,,,,,
95c6d5b02646f43fe19ce22901f5e1e72ec9cdf4e05b8c1ee6698531583a3bb3,Isotemp_marine_water_heater.pdf,515ce54a-09f5-1830-ef07-ff3db98422ad,Isotemp,marine_water_heater,manuals/95c6d5b02646f43fe19ce22901f5e1e72ec9cdf4e05b8c1ee6698531583a3bb3/Isotemp_marine_water_heater.pdf,0.11,2025-10-14T23:34:09.571Z,completed,2025-10-15T14:56:24.638Z,2025-10-15T14:56:49.767Z,4,4,4,0,semantic_v2,,,,,,,,,,,,,,
e9d4cf15f17cea978057318448a312b6fd5adfd0d798219c307ee526f6ac187f,Peplink_ap_one_ax.pdf,940b9d2f-6c80-7a1b-067c-9865fae75589,Peplink,ap_one_ax,manuals/e9d4cf15f17cea978057318448a312b6fd5adfd0d798219c307ee526f6ac187f/Peplink_ap_one_ax.pdf,3.74,2025-10-14T23:34:11.022Z,completed,2025-10-15T14:56:51.770Z,2025-10-15T14:57:45.253Z,29,29,29,0,semantic_v2,,,,,,,,,,,,,,
1b16daed93f3f00a3eceba2927dd92ecb02c8d8ea56f7c4ff7ee1be0472c13cf,Peplink_balance_20x_2_wan.pdf,5c359768-a7bf-4aa1-8b56-79cba419f881,Peplink,balance_20x_2_wan,manuals/1b16daed93f3f00a3eceba2927dd92ecb02c8d8ea56f7c4ff7ee1be0472c13cf/Peplink_balance_20x_2_wan.pdf,9.70,2025-10-14T23:34:13.361Z,completed,2025-10-15T16:18:00.358Z,2025-10-15T16:29:22.824Z,167,167,167,0,semantic_v2,,,,,,,,,,,,,,
93db8e343a03be06bed42c14e494a88e33ef3f96e7aa368ebf6a5281897b4cfb,Pepwave_max_hd1_dome_pro_5g.pdf,0443ce63-8971-4ccb-bf5a-d0b09d868d6f,Pepwave,max_hd1_dome_pro_5g,manuals/93db8e343a03be06bed42c14e494a88e33ef3f96e7aa368ebf6a5281897b4cfb/Pepwave_max_hd1_dome_pro_5g.pdf,13.38,2025-10-14T23:34:15.436Z,completed,2025-10-15T15:06:41.917Z,2025-10-15T15:07:33.338Z,123,123,123,0,semantic_v2,,,,,,,,,,,,,,
799d312a20b180acfc8ec52fbc710355816ff289b2f58b84a53e2526c5d84b2d,Thetford_tecma.pdf,33618d37-ceca-54ae-4290-e38b4d54920b,Thetford,tecma,manuals/799d312a20b180acfc8ec52fbc710355816ff289b2f58b84a53e2526c5d84b2d/Thetford_tecma.pdf,2.95,2025-10-14T23:34:16.755Z,completed,2025-10-15T15:07:35.342Z,2025-10-15T15:08:12.309Z,5,5,5,0,semantic_v2,,,,,,,,,,,,,,
8040c820d9b63fc9a174d0bc60a26a7a2a883bf4fb1b74fde588d2245e85673e,Vetus_extractor_fan.pdf,08ca0278-7202-4d3b-8824-64e36ad31488,Vetus,extractor_fan,manuals/8040c820d9b63fc9a174d0bc60a26a7a2a883bf4fb1b74fde588d2245e85673e/Vetus_extractor_fan.pdf,3.05,2025-10-14T23:34:17.778Z,completed,2025-10-15T15:08:14.315Z,2025-10-15T15:10:59.717Z,24,24,24,0,semantic_v2,,,,,,,,,,,,,,
6e1dfe63b6609067c374c759c35b6a9199d3da9fa923746c281e0cc9bc09fe9a,Vetus_fuel_filter_water_separators.pdf,45f47c43-98cf-4396-a3c0-ddd9b9ea58b0,Vetus,fuel_filter_water_separators,manuals/6e1dfe63b6609067c374c759c35b6a9199d3da9fa923746c281e0cc9bc09fe9a/Vetus_fuel_filter_water_separators.pdf,1.11,2025-10-14T23:34:18.510Z,completed,2025-10-15T15:11:01.721Z,2025-10-15T15:13:06.010Z,32,32,32,0,semantic_v2,,,,,,,,,,,,,,
645c97b19be2c009c9c700b4ab47315b03b81c28f4f0d68701caabf6967c728f,airmar_dst810_smart_multisensor.pdf,d969d27a-4dc8-d308-e47f-ee6f09567571,Airmar,dst810_smart_multisensor,manuals/645c97b19be2c009c9c700b4ab47315b03b81c28f4f0d68701caabf6967c728f/airmar_dst810_smart_multisensor.pdf,5.32,2025-10-14T23:34:19.826Z,completed,2025-10-15T15:13:08.015Z,2025-10-15T15:14:17.968Z,14,14,14,0,semantic_v2,,,,,,,,,,,,,,
d80bc2d7cf6c924dfab471f7da56ce230965a7631482b482dca7c7dbb0d06366,czone_touch_7.pdf,329c5200-e0c6-d03e-3dea-9cdff7591070,CZone,touch_7,manuals/d80bc2d7cf6c924dfab471f7da56ce230965a7631482b482dca7c7dbb0d06366/czone_touch_7.pdf,1.47,2025-10-14T23:34:23.140Z,completed,2025-10-15T15:14:19.971Z,2025-10-15T15:14:54.720Z,9,9,9,0,semantic_v2,,,,,,,,,,,,,,
174f0beb475c39ef0a4b1d53bc9d59ddb164f28ba23aa2c2e73fe64c728e6e72,fortress_fx_37.pdf,603ed86f-0d7a-4ee9-a681-d3a97b600764,Fortress,fx_37,manuals/174f0beb475c39ef0a4b1d53bc9d59ddb164f28ba23aa2c2e73fe64c728e6e72/fortress_fx_37.pdf,0.05,2025-10-14T23:34:23.740Z,completed,2025-10-15T15:14:56.725Z,2025-10-15T15:15:18.380Z,1,1,1,0,semantic_v2,,completed,2025-10-15T19:30:22.535665,2025-10-15T19:30:59.264097,8,5,5,3,0,0,3661,2712,0.0517,
b70a77310179b4ffaf2256844d35309d5cae524ce6429b7709fd86b4254edd1c,frigomar_airconditioners.pdf,b478c2fd-8991-b329-57c8-b973bc8c863d,Frigomar,airconditioners,manuals/b70a77310179b4ffaf2256844d35309d5cae524ce6429b7709fd86b4254edd1c/frigomar_airconditioners.pdf,1.01,2025-10-14T23:34:24.475Z,completed,2025-10-15T15:15:20.385Z,2025-10-15T15:16:13.386Z,6,6,6,0,semantic_v2,,,,,,,,,,,,,,
ad0c0d94bef5a38cbbfd75c85bc752f899651cfd199ca671a41b516608ecc53f,fusion_radio_stereo.pdf,cc01cf4d-5c29-efc5-3f90-099f8a8a74f0,Fusion,radio_stereo,manuals/ad0c0d94bef5a38cbbfd75c85bc752f899651cfd199ca671a41b516608ecc53f/fusion_radio_stereo.pdf,2.19,2025-10-14T23:34:25.283Z,completed,2025-10-15T15:19:44.200Z,2025-10-15T15:24:09.581Z,48,48,48,0,semantic_v2,,,,,,,,,,,,,,
