Main Category,Item Type,Item Name,Quantity,Unit,Brand,Part Number,Subcategory,Supplier,Location,Reorder Threshold,Notes,Critical Item,In Stock,NEEDS_REVIEW,Original Row,,,,,,,,
Plumbing,Supply,16 90 degree connection,4,piece,,,Hosetail fittings,Agrico,Port storage2,2,No,No,,,3,,,,,,,,
Plumbing,Supply,16mm Couplers,4,piece,,,Hosetail fittings,Agrico,Port storage2,2,No,No,,,4,,,,,,,,
Plumbing,Supply,16mm Tee,2,piece,,,Hosetail fittings,Agrico,Port storage2,2,No,No,,,5,,,,,,,,
Plumbing,Supply,1/2 Male x 16mm hose,2,piece,,,Hosetail fittings,Agrico,Port storage2,2,No,No,,,6,,,,,,,,
Plumbing,Supply,1/2 Female x Female,2,piece,,,Hosetail fittings,Agrico,Port storage2,2,No,No,,,7,,,,,,,,
Plumbing,Supply,20mm 90 degree fitting,2,piece,,,Hosetail fittings,Agrico,Port storage2,2,No,No,,,8,,,,,,,,
Plumbing,Supply,3/4 Male x 20mm hose,2,piece,,,Hosetail fittings,Agrico,Port storage2,2,No,No,,,9,,,,,,,,
Plumbing,Supply,1/2 female x 3/4female,2,piece,,,Hosetail fittings,Agrico,Port storage2,2,No,No,,,10,,,,,,,,
Plumbing,Supply,20mm Coupler,2,piece,,,Hosetail fittings,Agrico,0,2,No,No,,,11,,,,,,,,
Plumbing,Supply,25mm 90 Degree Fitting,2,piece,,,Hosetail fittings,Agrico,Port storage2,2,No,No,,,12,,,,,,,,
Plumbing,Supply,25mm Coupler,2,piece,,,Hosetail fittings,Agrico,0,2,No,No,,,13,,,,,,,,
Plumbing,Supply,1 inch blackwater tank value,1,piece,,,,,Port storage2,2,No,No,,,14,,,,,,,,
Plumbing,Supply,1 inch blakcwater tank coupling,1,piece,,,,,Port storage2,2,No,No,,,15,,,,,,,,
Bilge pump & Gori Props,Supply,Bilge Pump BE1454 Orca bilge pump 1300gph 24V,1,piece,,BE1454,Bilges,Central Boating,Port storage1,0,No,No,,,17,,,,,,,,
Bilge pump & Gori Props,Supply,Float switch,1,piece,,,Bilges,Central Boating,Port storage1,0,No,No,,,18,,,,,,,,
Bilge pump & Gori Props,Supply,Bilge pump 24 volts,1,piece,,,,,Port storage1,0,No,No,,,19,,,,,,,,
Bilge pump & Gori Props,Item,Anode for Gori Propeller ends,2,piece,,,Gori Props,Central Boating,Portside watermaker cupboard (astern of stairs),0,No,No,,,20,,,,,,,,
Bilge pump & Gori Props,Item,1/2 moon Gori Propeller,2,piece,,,Gori Props,Central Boating,Portside watermaker cupboard (astern of stairs),0,No,No,,,21,,,,,,,,
General,Supply,White Sika,1,piece,Sika,,kit,Commercial Marine,Portside watermaker cupboard (astern of stairs),2,No,No,,,23,,,,,,,,
General,Supply,Grey Sika,1,piece,Sika,,kit,Commercial Marine,Portside watermaker cupboard (astern of stairs),2,No,No,,,24,,,,,,,,
General,Supply,Clear Sika,1,piece,Sika,,kit,Commercial Marine,Portside watermaker cupboard (astern of stairs),2,No,No,,,25,,,,,,,,
General,Supply,Epoxy Quickset Liquid,1,piece,,,Kit,Commercial Marine,AquaMend box: Strbd bath above toilet,0,No,No,,,26,,,,,,,,
General,Supply,2 part Epoxy Putty,1,piece,,,Kit,Commercial Marine,AquaMend box: Strbd bath above toilet,0,No,No,,,27,,,,,,,,
General,Supply,2 part Aqua Underwater Putty,1,piece,,,Kit,Commercial Marine,AquaMend box: Strbd bath above toilet,0,No,No,,,28,,,,,,,,
General,Supply,Corrosion Black Grease,1,piece,,,Kit,Commercial Marine,AquaMend box: Strbd bath above toilet,2,No,No,,,29,,,,,,,,
General,Supply,3mm S/S Wire,1,piece,,,Kit,Commercial Marine,0,0,No,No,,,30,,,,,,,,
General,Supply,Self Amalgamating tape,1,piece,,,Kit,Buco,AquaMend box: Strbd bath above toilet,2,No,No,,,31,,,,,,,,
General,Supply,8mm Straight connection,2,piece,,,Fuel Connection,Meikles,AquaMend box: Strbd bath above toilet,0,No,No,,,32,,,,,,,,
General,Supply,Manuel oil changing pump (QuickSilver Gear Lube Pump),1,piece,,,,Commercial Marine,Portside watermaker cupboard (astern of stairs),1,No,No,,,33,,,,,,,,
General,Item,self-fusing recovery tape,1,piece,,,,,Portside watermaker cupboard (astern of stairs),0,No,No,,,34,,,,,,,,
General,Supply,double-side tape,1,piece,,,,,Portside watermaker cupboard (astern of stairs),2,No,No,,,35,,,,,,,,
General,Supply,Gorilla tape - extra wide (4) and wide,2,piece,Gorilla,,,,Portside watermaker cupboard (astern of stairs),2,No,No,,,STOCK_UNCLEAR,36,,,,,,,
General,Supply,Gorilla double-sided tape (narrow),1,piece,Gorilla,,,,Portside watermaker cupboard (astern of stairs),2,No,No,,,STOCK_UNCLEAR,37,,,,,,,
General,Supply,duct tape,1,piece,,,,,Portside watermaker cupboard (astern of stairs),2,No,No,,,38,,,,,,,,
General,Supply,painters tape - 1/4 inch and 1 inch,2,piece,,,,,Portside watermaker cupboard (astern of stairs),2,No,No,,,39,,,,,,,,
General,Supply,thick blue masking tape,1,piece,,,,,Portside watermaker cupboard (astern of stairs),2,No,No,,,40,,,,,,,,
General,Supply,reg yellow masking tape,1,piece,,,,,Portside watermaker cupboard (astern of stairs),2,No,No,,,41,,,,,,,,
General,Supply,Starbrite moisture absorber refill,3/4,Bag,,,,,Portside food cupboard' (at bottom of stairs),0,No,No,,,42,,,,,,,,
General,Supply,Paper towels,3,roll,,,,,Portside food cupboard' (at bottom of stairs),0,No,No,,,43,,,,,,,,
General,Item,Non-slip shelf liner,6,roll,,,,,Portside food cupboard' (at bottom of stairs),0,No,No,,,44,,,,,,,,
General,Supply,sheets of plastic (leftover from packages),1,piece,,,,,black bin - port forepeak,0,No,No,,,QTY_BLANK; TYPE_UNKNOWN; STOCK_UNCLEAR,45,,,,,,,
Nuts & Bolts,Tool,Assorted M6 - M10 Hex/CSK,1,piece,,,Nuts & Bolts,Fastenright,BoltsBox: Strbd bath above toilet,0,No,No,,,47,,,,,,,,
Nuts & Bolts,Supply,Washers/Nyloc/Nuts/Splipins/SS Pins,1,piece,,,Nuts & Bolts,Fastenright,BoltsBox: Strbd bath above toilet,0,No,No,,,48,,,,,,,,
Nuts & Bolts,Supply,Assorted 3.5/4.2/5.5/4.8 Pan head & CSK,1,piece,,,Screws,Fastenright,BoltsBox: Strbd bath above toilet,0,No,No,,,49,,,,,,,,
Integrel,Supply,Spare set of belts,3,piece,,,Integrel,Integral,TBD,1,No,No,,NO_LOCATION,51,,,,,,,,
Integrel,Tool,Straight edge,1,piece,,,,Integral,Strbd bath above toilet,0,No,No,,,52,,,,,,,,
Integrel,Supply,Vented smooth pulleys,2,piece,,,,Integral,Strbd bath above toilet,0,No,No,,,TYPE_UNKNOWN; STOCK_UNCLEAR,53,,,,,,,
Integrel,Supply,Belts - 8PK1330HD,2,piece,,8PK1330HD,,,Strbd bath above toilet,1,No,No,,,STOCK_UNCLEAR,54,,,,,,,
Fresh & Salt water pump and throttle cable,Supply,"UP6/E 24V 3,5 bar high pressure",1,piece,,UP6/E,Pump,Manex,Port storage2,0,No,No,,,56,,,,,,,,
Fresh & Salt water pump and throttle cable,Supply,9ft ZF Throttle,1,piece,,,Morse Cable,Manex,Strbd bath above toilet,0,No,No,,,57,,,,,,,,
Fresh & Salt water pump and throttle cable,Supply,Larger Seawater Strainer Full Unit,1,piece,,,,,Port storage2,0,No,No,,,58,,,,,,,,
Fresh & Salt water pump and throttle cable,Supply,Small Seawater Strainer Full Unit,1,piece,,,,,Port storage2,0,No,No,,,59,,,,,,,,
Plumbing Fittings,Supply,90 degree elbows,5,piece,,,Plumbing,Plumblink,Port storage2,2,No,No,,,61,,,,,,,,
Plumbing Fittings,Supply,Straight Connectors,4,piece,,,Plumbing,Plumblink,Port storage2,2,No,No,,,62,,,,,,,,
Plumbing Fittings,Supply,Stop Ends,2,piece,,,Plumbing,Plumblink,Port storage2,2,No,No,,,63,,,,,,,,
Plumbing Fittings,Supply,Male iron,2,piece,,,Plumbing,Plumblink,Port storage2,2,No,No,,,64,,,,,,,,
Plumbing Fittings,Supply,Female Iron,2,piece,,,Plumbing,Plumblink,Port storage2,2,No,No,,,65,,,,,,,,
Plumbing Fittings,Supply,Tee's,2,piece,,,Plumbing,Plumblink,Port storage2,2,No,No,,,66,,,,,,,,
Plumbing Fittings,Supply,Pipe,10,meter,,,Plumbing,Plumblink,TBD,2,No,No,,STOCK_INVALID,67,,,,,,,,
Plumbing Fittings,Supply,Valves,2,piece,,,Plumbing,Plumblink,Port storage2,2,No,No,,,68,,,,,,,,
Plumbing Fittings,Supply,Non-return Valves,1,piece,,,Plumbing,Plumblink,Port storage2,2,No,No,,,69,,,,,,,,
Plumbing Fittings,Supply,0.25 RO tubing (for drinking water),20,foot,,,Plumbing,,Port storage 0,2,No,No,,,STOCK_UNCLEAR,70,,,,,,,
Plumbing Fittings,Supply,Assorted 0.25 RO quick release fittings,1,pack,,,Plumbing,,Port storage 0,2,No,No,,,STOCK_UNCLEAR,71,,,,,,,
Plumbing Fittings,Supply,Orange foam cone,1,piece,,,,,Port storage,2,No,No,,,72,,,,,,,,
Electrical,Supply,Electric fuses and breakers,1,piece,,,,,AquaMend box: Strbd bath above toilet,0,No,No,,,74,,,,,,,,
Engine Service/Spares,Supply,50hr Service Kit: Oil Filter,2,piece,,,Engine,Seascape Marine,Strbd bath above toilet,1,No,No,,,78,,,,,,,,
Engine Service/Spares,Supply,250hr Service Kit: Oil Filter,2,piece,,,Engine,Seascape Marine,Strbd bath above toilet,1,No,No,,,79,,,,,,,,
Engine Service/Spares,Supply,250hr Service Kit: Fuel Filter,2,piece,,,Engine,Seascape Marine,Strbd bath above toilet,1,No,No,,,80,,,,,,,,
Engine Service/Spares,Supply,250hr Service Kit: Filter Separator,2,piece,,,Engine,Seascape Marine,Strbd bath above toilet,1,No,No,,,81,,,,,,,,
Engine Service/Spares,Supply,250hr Service Kit: Impeller Kit,2,piece,,,Engine,Seascape Marine,Strbd bath above toilet,2,No,No,,,82,,,,,,,,
Engine Service/Spares,Supply,250hr Service Kit: Belt water Pump,2,piece,,,Engine,Seascape Marine,Strbd bath above toilet,1,No,No,,,83,,,,,,,,
