Qty,Unit,Description,Supplier,Part/Area,Need to Order,Inventory Feb5/25,Where stored?,,
Plumbing,,,,,,,,,
4,item,16 90 degree connection,Agrico,Hosetail fittings,,x,Port storage2,,
4,,16mm Couplers,Agrico,Hosetail fittings,,x,Port storage2,,
2,,16mm Tee,Agrico,Hosetail fittings,,x,Port storage2,,
2,,"1/2"" Male x 16mm hose",Agrico,Hosetail fittings,,x,Port storage2,,
2,,"1/2"" Female x Female",Agrico,Hosetail fittings,,1 req'd,Port storage2,,
2,,20mm 90 degree fitting,Agrico,Hosetail fittings,,x,Port storage2,,
2,,"3/4"" Male x 20mm hose",Agrico,Hosetail fittings,,x,Port storage2,,
2,,"1/2"" female x 3/4""female",Agrico,Hosetail fittings,,x,Port storage2,,
2,,20mm Coupler,Agrico,Hosetail fittings,,no,,,
2,,25mm 90 Degree Fitting,Agrico,Hosetail fittings,,x,Port storage2,,
2,,25mm Coupler,Agrico,Hosetail fittings,,no,,,
1,,1 inch blackwater tank value,,,,,Port storage2,,
1,,1 inch blakcwater tank coupling,,,,,Port storage2,,
Bilge pump & Gori Props,,,,,,,,,
1,,Bilge Pump BE1454 Orca bilge pump 1300gph 24V,Central Boating,Bilges,,x,Port storage1,,
1,,Float switch,Central Boating,Bilges,,x,Port storage1,,
1,,Bilge pump 24 volts,,,,x (added),Port storage1,,
2,,Anode for Gori Propeller ends,Central Boating,Gori Props,,x,Portside watermaker cupboard (astern of stairs),,
2,,1/2 moon Gori Propeller,Central Boating,Gori Props,,x,Portside watermaker cupboard (astern of stairs),,
General,,,,,,,,,
1,,White Sika,Commercial Marine,kit,,x,Portside watermaker cupboard (astern of stairs),,
1,,Grey Sika,Commercial Marine,kit,,x (also have black),Portside watermaker cupboard (astern of stairs),,
1,,Clear Sika,Commercial Marine,kit,,x,Portside watermaker cupboard (astern of stairs),,
1,,Epoxy Quickset Liquid,Commercial Marine,Kit,,x,AquaMend box: Strbd bath above toilet,,
1,,2 part Epoxy Putty,Commercial Marine,Kit,,x,AquaMend box: Strbd bath above toilet,,
1,,2 part Aqua Underwater Putty,Commercial Marine,Kit,,x,AquaMend box: Strbd bath above toilet,,
1,,Corrosion Black Grease,Commercial Marine,Kit,,x,AquaMend box: Strbd bath above toilet,,
1,,3mm S/S Wire,Commercial Marine,Kit,,no,,,
1,,Self Amalgamating tape,Buco,Kit,,x,AquaMend box: Strbd bath above toilet,,
2,,8mm Straight connection,Meikles,Fuel Connection,,x,AquaMend box: Strbd bath above toilet,,
1,,"Manuel oil changing pump (""QuickSilver Gear Lube Pump"")",Commercial Marine,,,x ,Portside watermaker cupboard (astern of stairs),,
1,,self-fusing recovery tape,,,,x,Portside watermaker cupboard (astern of stairs),,
1,,double-side tape,,,,x,Portside watermaker cupboard (astern of stairs),,
2,,"Gorilla tape - extra wide (4"") and wide",,,,"Nov 10, 2025",Portside watermaker cupboard (astern of stairs),,
1,,Gorilla double-sided tape (narrow),,,,"Nov 10, 2025",Portside watermaker cupboard (astern of stairs),,
,,duct tape,,,,x,Portside watermaker cupboard (astern of stairs),,
2,,painters tape - 1/4 inch and 1 inch,,,,x,Portside watermaker cupboard (astern of stairs),,
1,,thick blue masking tape,,,,x,Portside watermaker cupboard (astern of stairs),,
1,,"reg ""yellow"" masking tape",,,,x,Portside watermaker cupboard (astern of stairs),,
3/4 bag,Bag,Starbrite moisture absorber refill,,,,x,"Portside ""food cupboard' (at bottom of stairs)",,
3 rolls,roll,Paper towels ,,,,x,"Portside ""food cupboard' (at bottom of stairs)",,
many,roll,Non-slip shelf liner,,,,x,"Portside ""food cupboard' (at bottom of stairs)",,
,,sheets of plastic (leftover from packages),,,,"Nov 9, 2025",black bin - port forepeak,,
Nuts & Bolts,,,,,,,,,
,,Assorted M6 - M10 Hex/CSK,Fastenright,Nuts & Bolts,,x,BoltsBox: Strbd bath above toilet,,
,,Washers/Nyloc/Nuts/Splipins/SS Pins,Fastenright,Nuts & Bolts,,x,BoltsBox: Strbd bath above toilet,,
,,Assorted 3.5/4.2/5.5/4.8 Pan head & CSK,Fastenright,Screws,,x,BoltsBox: Strbd bath above toilet,,
Integrel,,,,,,,,,
3,,Spare set of belts,Integral,Integrel,,x,,,issue as 2 of the belts seems to be just a little too large
1,,Straight edge,Integral,,,x,Strbd bath above toilet,,
2,,Vented smooth pulleys,Integral,,,"April 11, 2025",Strbd bath above toilet,,
2,,Belts - 8PK1330HD,,,,"April 11, 2025",Strbd bath above toilet,,
Fresh & Salt water pump and throttle cable,,,,,,,,,
1,,"UP6/E 24V 3,5 bar high pressure",Manex,Pump,,x,Port storage2,,
1,,9ft ZF Throttle,Manex,Morse Cable,,x,Strbd bath above toilet,,
1,,Larger Seawater Strainer Full Unit,,,,,Port storage2,,
1,,Small Seawater Strainer Full Unit,,,,,Port storage2,,
Plumbing Fittings,,,,,,,,,
5,,90 degree elbows,Plumblink,Plumbing,,x,Port storage2,,
4,,Straight Connectors,Plumblink,Plumbing,,x,Port storage2,,
2,,Stop Ends,Plumblink,Plumbing,,x,Port storage2,,
2,,Male iron,Plumblink,Plumbing,,x,Port storage2,,
2,,Female Iron,Plumblink,Plumbing,,x,Port storage2,,
2,,Tee's,Plumblink,Plumbing,,x,Port storage2,,
10,metre,Pipe,Plumblink,Plumbing,,no?,,,
2,,Valves,Plumblink,Plumbing,,x,Port storage2,,
1,,Non-return Valves,Plumblink,Plumbing,,x,Port storage2,,
20,feet,"0.25"" RO tubing (for drinking water)",,Plumbing,,"April 11, 2025",Port storage 0,,
1,pack,"Assorted 0.25"" RO quick release fittings",,Plumbing,,"April 11, 2025",Port storage 0,,
,,Orange foam cone,,,,,Port storage,,
