asset_uid,manufacturer_norm,model_norm,system_norm,subsystem_norm,description
dac504d8-2fcd-4d9d-a5db-744fb64901e5,Rocna,mkii_50_50kg,Rigging/Deck,Anchor,"Rocna MkII 50 (50kg)."
6ec81c33-6ccf-4319-9fe9-db24c6113c81,Rule,bilge_pump,Hull/Plumbing,Venting,"Bilge pump"
6b101a00-e08f-d3a2-6ba8-4d8d5c7ade42,Rule,standard_drain_box,Hull/Plumbing,Venting,"Standard drain box"
3a49c8f2-44de-4940-9b3c-be32d80e1b5d,Samsung,washer_dryer,Interior/Comfort,Audio/entertainment,"Washer dryer"
47c20c93-45bb-e1a3-d2c7-40d1d28eda44,Samsung,tv,Interior/Comfort,Audio/entertainment,"TV"
53882300-2ffc-4cdb-8f17-62fff5cc2cd1,Scanstrut,atmos_at_the_transom_seat,Electrical (DC),Air Pump,"Scanstrut Atmos at the transom seat."
d0cbc03e-ad33-47c8-84b7-92b41d319727,Schenker,zen_150_watermaker_48v,Hull/Plumbing,Watermaker,"Schenker Zen 150 watermaker 48V."
dbd7b74f-2b5b-41dd-b369-6c80d9253e6e,Seaai,sea_ai,Navigation,AI Camera,"Sea.ai"
793a9915-0404-0b63-c7aa-3670be9b469a,Spinlock,tsr_aft_organiser,Hull/Plumbing,Uncategorized,"TSR aft organiser"
b3470a55-8290-25b9-f407-85b5652b8788,Sunpower,solar_panel,Electrical (DC),Solar/mppt,"Solar Panel"
943d3a57-5a1f-44db-622b-2fa9debeb834,Sunrise Yacht Products,trampoline,Rigging/Deck,Trampoline,"Trampoline"
33618d37-ceca-54ae-4290-e38b4d54920b,Thetford,tecma,Hull/Plumbing,Shower,"Tecma"
65ba5c9d-560b-889f-9bb5-ec6251e82141,Top Carpets,vinyl_care,Interior/Comfort,Flooring,"Vinyl care"
18eb5ba1-36c0-9ed4-27c1-4d2f0ce80465,Ullman Sails,sail_crossover_chart,Sails,Chart,"Sail Crossover Chart"
e3d12cb9-377d-456d-b322-24fd20edc595,Vetus,vented_loops,Hull/Plumbing,Venting,"Vented loops"
1dced2ef-c7e8-4a0b-a4a1-4ce10385d014,Vetus,no_smell_filter,Hull/Plumbing,Venting,"No smell filter"
dbc18825-eebc-43b0-b511-c0b7204b5d5c,Vetus,waste_water_tank,Hull/Plumbing,Venting,"Waste water tank"
3f072505-a5df-1084-4298-269c2b5cdbe0,Vetus,louvred_air_vents,Hull/Plumbing,Venting,"Louvred air vents"
45f47c43-98cf-4396-a3c0-ddd9b9ea58b0,Vetus,fuel_filter_water_separators,Hull/Plumbing,Venting,"Fuel filter/Water Separators"
