asset_uid,manufacturer_norm,model_norm,system_norm,subsystem_norm,description
00dc82b0-b0ae-6688-3969-601d22f7bc62,Acr,epirb_beacon_programming_certificate,Safety,Epirb/plb,"EPIRB beacon programming certificate"
87517a2e-8bc4-8379-5718-e88bb81cb796,Acuva,uv_led_water_purification_system,Hull/Plumbing,Water Filter,"UV-LED Water purification system"
b3552f33-36c4-c3ba-043b-486b7e985dba,Airmar,triducer_multisensor_airmar_dst810,Navigation,Sonar/forwardscan,""
d969d27a-4dc8-d308-e47f-ee6f09567571,Airmar,dst810_smart_multisensor,Hull/Plumbing,Transducers,"Quick start guide - connect to multisensor"
c5dca824-4b60-5c33-a3d8-ecfec0bce4ff,Antal,roller_cleat,Rigging/Deck,Deck Hardware,"Roller cleat"
db75b0f4-79fe-220d-15f4-da65e22e8531,B&G,triton_display,Navigation,Instruments,""
b22eaf1a-2334-bcca-b748-f3a13cf3f092,B&G,t2_ram_24v,Navigation,Autopilot,""
a0bb27fe-88aa-fb1f-9ed8-d8497e562600,B&G,gps_500_gps_antenna_for_nais_500_ais_transceiver,Navigation,GPS/gnss,""
18ebb84d-9981-3a60-5a38-0cf23da9e370,B&G,ais_vhf_antenna_splitter,Communications,VHF,"AIS/VHF antenna splitter"
3726411d-ce98-42da-a858-849a5ae98717,B&G,nemesis_9,Navigation,Instruments,""
8130c5ae-e20f-4c51-bd56-addc884b0b06,B&G,t2_ram_and_rf25_mounted_in_starboard_engine_room,Navigation,Autopilot,"Autopilot T2 Ram & RF25 mounted in starboard engine room."
d9b15880-2f9c-4fce-259d-ee8c8ad20244,B&G,zeus_12_evo3,Navigation,Displays/mfds,""
2bc39990-2681-6814-08d8-3e1d222e1abb,B&G,zg100_gps_dome,Navigation,GPS/gnss,""
ba7a6a3f-293d-e30e-34be-a23fc1740980,B&G,nrs_2,Communications,VHF,"NRS-2"
d0eaea4e-573b-fede-f90c-42c079bcde25,B&G,h100_kit,Communications,Handsets/intercom,"H100 kit"
